the	71972329
and	29358772
ins	28421052
was	11912553
for	8461488
ons	7702735
its	6993321
ats	5210559
his	5135444
ans	3981534
end	3754626
are	3412999
ors	2710894
has	2666838
had	2355354
one	2288840
but	2004595
not	1974971
use	1954892
new	1951970
who	1912988
her	1699460
two	1681037
she	1622063
all	1518250
ups	1096667
can	992937
out	981318
him	954411
may	949865
war	831048
day	771363
age	665289
own	578703
now	575976
run	533191
ifs	522259
set	507592
ani	503345
any	503345
won	473747
art	444932
air	443257
die	436290
law	434713
old	419309
did	413729
due	402442
act	400266
son	400096
off	399163
way	397756
win	371336
see	356262
man	354770
top	350472
you	325189
men	307879
led	306454
non	292926
few	288910
get	286584
six	276430
per	253090
car	249437
ads	246312
red	244905
san	239502
hit	237812
cup	237226
say	222139
try	219209
doe	210464
how	203323
sea	197605
put	186092
low	185299
arm	182126
als	180611
lie	173906
boy	169232
far	164291
ten	162238
big	161901
ask	161073
god	161018
bay	158606
mid	156886
saw	154004
too	149934
cut	137119
los	136584
our	133307
key	130780
met	130484
via	126761
gun	124406
fly	119781
got	117486
don	116951
fan	115686
mix	114229
eye	113744
era	112225
sir	112198
job	111673
ran	111631
yet	110875
box	107469
oil	106814
aid	106776
bar	106591
pay	100756
van	98738
pre	97869
ice	97615
tie	93741
tax	91492
pop	89493
hot	88429
sun	88410
lee	87755
els	84911
fit	84438
dog	83097
tom	82324
map	81570
aim	80062
let	79067
gas	78705
bus	77214
bad	76689
goe	75996
ray	75426
joe	73690
lot	73183
bat	70542
pro	69930
leg	69526
sex	69130
web	68003
bob	66276
jew	65082
fox	63163
ill	62592
dry	61010
bit	60682
sit	59872
wit	59200
why	57473
del	57365
fix	56083
row	55215
ban	54284
cap	52043
sub	51531
dam	50435
buy	50155
ben	49569
cat	48596
eat	47828
lay	47624
nor	47102
kid	46440
sam	46267
net	45659
gay	44583
add	44493
sky	44228
eds	44042
ens	43972
sri	43811
hip	42490
egg	42138
bed	42035
dan	41997
ago	41645
guy	41444
fee	40569
hop	40374
max	40325
jet	38996
uns	37965
oak	37842
wed	37814
mar	37369
ski	35795
ton	34836
las	34000
bid	33768
mac	33139
tag	32543
tip	32262
gap	31935
les	31930
sum	31896
pan	31886
jay	31481
log	29852
odd	29713
ram	29697
ann	28980
dub	28614
pit	28547
toy	27748
duo	27355
hat	26835
lab	26537
bow	25904
tea	25650
ash	25584
ken	25379
rob	25378
pen	24911
mad	24792
pin	24641
owe	24597
lap	24243
fun	23968
raw	23899
ear	23854
vol	23775
fat	22700
arc	22682
inn	22392
sin	22375
rod	22308
pat	21765
rev	21730
ted	21649
ion	21541
bag	21492
spy	21422
ace	21398
kit	21233
cry	21209
jam	21174
eve	21138
pet	20863
sat	20594
pub	20469
gen	20380
wet	20061
rat	19969
abs	19843
sur	19385
rap	19165
zoo	19119
ohs	18824
hub	18787
aka	18771
sox	18749
han	18529
fed	17999
bee	17745
bin	17714
joy	17609
pig	17583
fin	17519
fry	17211
dot	17144
bug	16229
bet	16210
ops	16049
sad	15572
cox	15490
cow	15455
org	15348
den	15183
fur	15013
opt	14910
tin	14669
tap	14667
tow	14644
ids	14612
lit	14569
pot	14347
chi	14315
gig	14192
dos	14119
col	14057
ore	13993
con	13918
cub	13586
ant	13321
tan	12975
rim	12948
axe	12805
vow	12793
mud	12756
pad	12718
mob	12713
dig	12614
yes	12558
ems	12455
ham	12246
lip	12190
lou	12039
hay	11914
ais	11796
ink	11745
alp	11669
ars	11454
jaw	11374
sue	11328
aas	11291
owl	11129
das	11034
jin	10996
pie	10885
sec	10875
phi	10821
rig	10810
nun	10792
gym	10773
nut	10769
bud	10623
din	10576
est	10564
toe	10525
ags	10364
tel	10279
iso	10259
hon	10251
rex	10209
beg	10083
ers	10062
cab	10034
ana	10032
ahs	9853
par	9848
dee	9824
hut	9744
kay	9728
rip	9727
sen	9678
mat	9607
spa	9472
cop	9324
mel	9180
gem	9169
zip	9152
tai	9013
dye	8956
doc	8861
dad	8743
kai	8572
wax	8528
rom	8485
ain	8449
ave	8317
cum	8296
cam	8146
sim	8119
def	8079
rug	8056
fog	7911
cal	7893
mod	7818
pod	7795
lin	7777
ego	7642
rid	7642
rib	7635
mon	7632
dip	7627
bio	7516
raj	7447
pal	7445
pas	7265
bye	7264
hey	7220
wan	7204
mir	7131
ivy	6967
pac	6946
pow	6920
sol	6920
shy	6917
ape	6796
sac	6783
sax	6776
dug	6767
dei	6757
ark	6750
goa	6673
elm	6644
gut	6637
cue	6563
ufo	6470
rue	6370
mig	6308
jar	6302
gum	6298
foe	6296
gag	6282
tao	6257
rai	6233
ned	6221
hen	6188
tar	6141
rep	6112
mae	6069
bog	6049
jun	6031
eco	6011
tug	5977
cod	5959
bon	5952
qin	5832
rag	5827
amp	5761
ole	5760
mom	5743
lac	5732
nam	5731
ref	5715
aba	5633
elk	5600
tee	5597
lar	5556
dom	5478
psi	5406
ala	5372
ale	5268
eas	5263
aft	5260
gov	5208
rot	5193
woo	5153
lex	5137
pun	5133
sic	5117
pea	4979
nas	4969
sap	4962
nat	4961
wen	4933
sai	4898
lea	4872
roc	4860
tau	4851
yen	4851
flu	4837
ame	4835
hui	4830
gus	4828
fir	4797
ras	4776
obe	4728
faa	4712
peg	4685
boi	4676
gnu	4671
fig	4669
pam	4667
eel	4661
ate	4657
hid	4647
tab	4639
sar	4628
thy	4572
hoc	4539
ing	4479
alt	4478
ska	4451
var	4400
cha	4390
meg	4348
moe	4329
cis	4327
rub	4326
nan	4325
sha	4312
uts	4307
apt	4283
roe	4279
bas	4245
geo	4236
nil	4227
mal	4198
hog	4196
rei	4181
boo	4177
elf	4177
lad	4173
yin	4166
kin	4152
lag	4151
lam	4137
oms	4120
ami	4114
doo	4111
dow	4096
dev	4064
ass	4058
rye	4055
dun	4046
tam	4030
orb	4027
dal	4003
ode	3972
bel	3969
rum	3957
gee	3954
pos	3929
tex	3917
dim	3886
gel	3877
pak	3835
lid	3818
sew	3809
che	3797
nod	3782
hue	3756
ava	3744
sui	3717
vie	3699
hun	3682
ryu	3655
nos	3628
wee	3594
bey	3557
hug	3532
gin	3526
fay	3525
ree	3517
mag	3497
ios	3466
alf	3461
tor	3434
sal	3433
obo	3424
cur	3423
pol	3408
mic	3388
dod	3373
cad	3370
vis	3353
wow	3343
mas	3328
kat	3292
ren	3267
wat	3258
paw	3228
gan	3194
wig	3174
asp	3157
ply	3142
reg	3133
soy	3118
app	3094
jag	3081
cid	3054
hum	3044
ums	3042
tun	3038
mil	3032
fax	3031
bam	3025
boa	2991
fil	2958
ova	2953
dew	2909
pip	2891
lev	2868
fen	2867
mor	2860
bun	2842
ama	2814
pup	2814
vet	2814
orc	2811
med	2800
gal	2795
pud	2791
sow	2787
til	2774
mis	2768
obs	2740
vat	2718
lew	2684
tay	2666
sud	2648
sly	2644
bot	2643
eng	2642
bop	2634
pee	2618
wai	2593
ono	2549
lax	2527
pir	2512
urn	2505
pep	2499
ute	2497
lux	2495
ail	2491
eta	2473
tit	2472
tub	2472
div	2466
maa	2426
jai	2401
lei	2389
ger	2377
het	2377
jug	2359
yak	2357
ide	2354
nur	2350
oat	2337
pew	2334
ser	2333
dso	2330
vin	2330
nit	2327
tae	2315
taj	2273
awe	2259
pax	2259
mun	2252
tak	2246
zee	2242
oda	2236
auf	2226
ary	2223
ley	2210
foo	2208
res	2207
yam	2205
sos	2192
nag	2189
mos	2186
bis	2176
yom	2175
emu	2174
coo	2172
ard	2170
aga	2169
uni	2163
hex	2159
mug	2156
gis	2155
icy	2155
bac	2142
roo	2139
wye	2123
awa	2118
